"lon","lat"
150.7708274,-33.7589212
-164.6152778,62.6888889
-149.9002778,61.2180556
-149.9002778,61.2180556
-145.3052778,61.955
-149.4394444,61.5813889
-150.2313889,62.3166667
-114.4667774,36.5679822
-151.0583332,60.4877778
-92.8258089,34.3692858
-158.4575,59.0397222
-157.0138889,58.7283333
-147.7163889,64.8377778
-147.7163889,64.8377778
-147.3494444,64.7511111
-90.4290168,42.4166744
-90.4290168,42.4166744
-97.3714652,48.2916547
-165.4063889,64.5011111
-145.2513402,66.56735
-97.3516558,32.7732044
-88.2607188,30.4069515
-88.2383363,30.3829771
-88.2383363,30.3829771
-1.2577263,51.7520209
-86.6294262,32.8387371
-88.343376,37.733936
-87.4938708,31.0237921
-74.3365534,44.2545023
-117.7237627,33.5291274
-85.3782795,32.6454116
-86.5861037,34.7303688
-86.5861037,34.7303688
-79.9414266,37.2709704
-85.0007653,32.4709761
-70.8967155,42.51954
-87.7922362,33.2562293
-91.3848749,40.550042
-94.1185366,36.3320196
-94.1185366,36.3320196
-94.1185366,36.3320196
-95.7507815,30.2093794
-94.348268,35.436756
-94.348268,35.436756
-92.4129303,33.8137161
-90.08129,29.932376
-90.08129,29.932376
-78.1633341,39.1856597
-92.4421011,35.0886963
-92.4421011,35.0886963
-99.3340442,34.637765
-99.3340442,34.637765
-93.0551795,34.5037004
-106.9561791,44.7971939
-90.4973286,36.0584021
-86.7816016,36.1626638
-91.8415363,36.1536795
-92.0031955,34.2284312
-92.0031955,34.2284312
-102.6207496,38.0872307
-91.8998611,34.7839795
-91.8998611,34.7839795
-92.0165336,34.974532
-94.0476882,33.425125
-100.8881993,34.9378289
9.1401481,47.1491923
-90.5073285,35.6736895
-72.5963431,42.3732554
-72.5963431,42.3732554
-92.9365581,35.2464719
-92.2670941,34.769536
-92.2895948,34.7464809
-92.2895948,34.7464809
-74.2765366,40.8398218
-94.3985475,35.3859242
-94.3985475,35.3859242
-94.3985475,35.3859242
-94.3985475,35.3859242
-94.3985475,35.3859242
-94.3985475,35.3859242
