"STATE","OTH_DEATH","FF_DEATH","total","year"
"OH",98,3,101,"2015"
"OK",19,0,19,"2015"
"OR",22,0,22,"2015"
"PA",48,0,48,"2015"
"RI",2,0,2,"2015"
"SC",46,0,46,"2015"
"SD",5,2,7,"2015"
"TN",79,0,79,"2015"
"TX",112,0,112,"2015"
"UT",6,0,6,"2015"
"VA",42,0,42,"2015"
"VT",4,0,4,"2015"
"WA",27,0,27,"2015"
"WI",30,0,30,"2015"
"WV",29,0,29,"2015"
"WY",3,0,3,"2015"
