"STATE","FDID","INC_NO","INC_TYPE","OTH_DEATH","FF_DEATH","total","year","region"
"CA","24005","17205",111,1,0,1,"2012","west"
"CA","24030","0002585",111,1,0,1,"2012","west"
"CA","27060","0003488",111,1,0,1,"2012","west"
"CA","33075","1202185",111,1,0,1,"2012","west"
"CA","33075","1208359",111,2,0,2,"2012","west"
"CA","33075","1219777",111,1,0,1,"2012","west"
"CA","34090","0135783",120,1,0,1,"2012","west"
"CA","34090","67602",111,1,0,1,"2012","west"
"CA","36065","1201294",111,1,0,1,"2012","west"
"CA","36180","1201300",111,1,0,1,"2012","west"
"CA","37115","0004200",111,1,0,1,"2012","west"
"CA","37140","0106446",111,1,0,1,"2012","west"
"CA","38005","043388",111,1,0,1,"2012","west"
"CA","38005","076101",111,2,0,2,"2012","west"
"CA","49110","0000277",111,2,0,2,"2012","west"
"CA","49145","0001048",111,1,0,1,"2012","west"
"CA","56010","0000039",111,1,0,1,"2012","west"
"CA","56020","2338",111,1,0,1,"2012","west"
"CA","58008","6314",111,1,0,1,"2012","west"
"CA","58010","11601",111,1,0,1,"2012","west"
"CO","00305","0000173",111,1,0,1,"2012","west"
"CO","04100","3120199",111,1,0,1,"2012","west"
"CO","04172","0002457",111,1,0,1,"2012","west"
"CO","05903","0003683",111,1,0,1,"2012","west"
"CO","05909","37",111,1,0,1,"2012","west"
"CO","06960","11030",111,1,0,1,"2012","west"
"CO","08110","0000035",111,1,0,1,"2012","west"
"CO","08525","2550",112,1,0,1,"2012","west"
"CO","10145","1317",111,1,0,1,"2012","west"
"CO","10145","14286",111,4,0,4,"2012","west"
"CT","02180","0001005",111,1,0,1,"2012","northeast"
"CT","02180","0001883",111,1,0,1,"2012","northeast"
"CT","02190","0000201",111,2,0,2,"2012","northeast"
"CT","02270","0012443",111,1,0,1,"2012","northeast"
"CT","05040","0001908",111,1,0,1,"2012","northeast"
"CT","05070","0002101",111,1,0,1,"2012","northeast"
"CT","05140","0005378",111,1,0,1,"2012","northeast"
"CT","08120","0001875",111,2,0,2,"2012","northeast"
"DC","11001","0013191",111,1,0,1,"2012","south"
"DC","11001","0023231",111,1,0,1,"2012","south"
"DC","11001","0144275",100,1,0,1,"2012","south"
"DC","11001","0166578",111,1,0,1,"2012","south"
"DE","30046","0000021",111,1,0,1,"2012","south"
"FL","02072","4847",111,1,0,1,"2012","south"
"FL","02072","5365",111,1,0,1,"2012","south"
"FL","02072","16397",111,1,0,1,"2012","south"
"FL","02072","35575",111,1,0,1,"2012","south"
"FL","02072","81636",111,1,0,1,"2012","south"
"FL","02072","111733",111,1,0,1,"2012","south"
"FL","02072","112637",111,1,0,1,"2012","south"
"FL","02072","125030",111,1,0,1,"2012","south"
"FL","03051","0011940",122,1,0,1,"2012","south"
"FL","03051","0052915",111,1,0,1,"2012","south"
"FL","03051","0074573",111,1,0,1,"2012","south"
"FL","03051","0075240",111,1,0,1,"2012","south"
"FL","03082","1201917",111,1,0,1,"2012","south"
"FL","04042","2102681",111,1,0,1,"2012","south"
"FL","04052","2119735",111,1,0,1,"2012","south"
"FL","04062","2068716",111,1,0,1,"2012","south"
"FL","04112","2001910",111,1,0,1,"2012","south"
"FL","04112","2140299",111,1,0,1,"2012","south"
"FL","04162","2014504",111,2,0,2,"2012","south"
"FL","05042","0001840",111,1,0,1,"2012","south"
"FL","05102","1215608",111,1,0,1,"2012","south"
"FL","05102","1216187",111,1,0,1,"2012","south"
"FL","06272","0007212",111,1,0,1,"2012","south"
"FL","06272","0020874",111,1,0,1,"2012","south"
"FL","06301","2107946",111,1,0,1,"2012","south"
"FL","07212","0031820",111,1,0,1,"2012","south"
"FL","07252","2047058",111,1,0,1,"2012","south"
"FL","07252","2062371",111,2,0,2,"2012","south"
"FL","07252","2066127",111,1,0,1,"2012","south"
"FL","08012","0540015",111,1,0,1,"2012","south"
"FL","08092","0003510",111,1,0,1,"2012","south"
"FL","08122","2310011",111,1,0,1,"2012","south"
"FL","09023","0002401",111,1,0,1,"2012","south"
"FL","09023","0009057",111,1,0,1,"2012","south"
"FL","09023","0010165",111,1,0,1,"2012","south"
"FL","10172","1220168",111,1,0,1,"2012","south"
"FL","10232","1202404",111,1,0,1,"2012","south"
"FL","10242","0706191",111,1,0,1,"2012","south"
"FL","10282","0608760",111,1,0,1,"2012","south"
"FL","13012","0001009",111,1,0,1,"2012","south"
"FL","13012","0007482",111,1,0,1,"2012","south"
"FL","13012","0009602",111,1,0,1,"2012","south"
"FL","14162","0018695",111,1,0,1,"2012","south"
"FL","14162","0061149",111,1,0,1,"2012","south"
"FL","16021","0121595",111,2,0,2,"2012","south"
